=== Experiment V8_512: V8 = V7 weights at 512x512, 30 epochs, batch=8, num_workers=14 ===
Log: /workspace/logs/cifar100_spikedetect_V8_512.log
dataset=coco batch=8 img=512 epochs=30 warmup=2 amp=True
backbone_source=imagenet_ann  warm_start=cifar100_spikedetect_V7_yolov8_best.pth scope=all  aug=strong
USE_KD=True  USE_SPIKING_HEAD=False
loading annotations into memory...
Done (t=10.39s)
creating index...
index created!
Wrapped train_set with MosaicDetection (prob=0.5)
loading annotations into memory...
Done (t=0.46s)
creating index...
index created!
Train batches: 14785  Val batches: 625
num_classes=81 (incl. background)
[SEWBackboneForDetection:imagenet_ann] loaded 660 keys, skipped 0, still-missing 240
Warm-started from cifar100_spikedetect_V7_yolov8_best.pth (scope=all): loaded 999 keys, skipped 0
Total params: 17,414,811  Trainable: 17,263,251
Loading ANN teacher: torchvision RetinaNet-R50-FPN-v2 @ 416...
Backbone trainable: 11,092,192
Head/FPN trainable: 6,171,059
USE_EMA=True  USE_PROGRESSIVE_UNFREEZE=True
No resume checkpoint — fresh start for this experiment.
--- Epoch 0: unfreezing 1/4 backbone layer-groups, trainable params 14,611,071 ---
Epoch 0 train | total=19.2062 cls=2.0780 ciou=1.8037 dfl=1.5969 | LR bb=3.00e-05 head=3.00e-04 | 14785 batches in 4544.8s
/workspace/venv/lib/python3.12/site-packages/torchmetrics/utilities/prints.py:43: UserWarning: Encountered more than 100 detections in a single image. This means that certain detections with the lowest scores will be ignored, that may have an undesirable impact on performance. Please consider adjusting the `max_detection_threshold` to suit your use case. To disable this warning, set attribute class `warn_on_many_detections=False`, after initializing the metric.
  warnings.warn(*args, **kwargs)
Epoch 0 eval (EMA) | mAP@50=0.390  mAP@[.5:.95]=0.232
>> Best saved at epoch 0 (mAP@50: 0.390) [EMA]
--- Epoch 1: unfreezing 1/4 backbone layer-groups, trainable params 14,611,071 ---
  iter 0/14785  loss=21.2413  (cls 2.6598 ciou 2.2970 dfl 1.9338)  0.61 it/s  gpu_mem=22585 MB
  iter 100/14785  loss=22.4333  (cls 2.6572 ciou 2.1105 dfl 1.9279)  3.08 it/s  gpu_mem=22586 MB
  iter 200/14785  loss=20.6147  (cls 2.7962 ciou 2.2268 dfl 1.9496)  3.12 it/s  gpu_mem=22586 MB
  iter 300/14785  loss=16.7429  (cls 1.3977 ciou 1.5275 dfl 1.3059)  3.18 it/s  gpu_mem=22586 MB
  iter 400/14785  loss=19.2535  (cls 2.1658 ciou 2.0340 dfl 1.7489)  3.21 it/s  gpu_mem=22586 MB
  iter 500/14785  loss=20.6822  (cls 2.4790 ciou 1.9103 dfl 1.6503)  3.23 it/s  gpu_mem=22586 MB
  iter 600/14785  loss=21.0600  (cls 2.6161 ciou 1.9567 dfl 1.8886)  3.23 it/s  gpu_mem=22586 MB
  iter 700/14785  loss=19.2819  (cls 2.1448 ciou 1.9906 dfl 1.6160)  3.24 it/s  gpu_mem=22586 MB
  iter 800/14785  loss=19.7836  (cls 2.6487 ciou 2.0923 dfl 1.7641)  3.25 it/s  gpu_mem=22586 MB
  iter 900/14785  loss=18.4589  (cls 1.6461 ciou 1.5864 dfl 1.3979)  3.25 it/s  gpu_mem=22586 MB
  iter 1000/14785  loss=19.6745  (cls 2.2321 ciou 1.8787 dfl 1.6204)  3.25 it/s  gpu_mem=22586 MB
  iter 1100/14785  loss=19.5780  (cls 1.7862 ciou 1.5012 dfl 1.3737)  3.25 it/s  gpu_mem=22586 MB
  iter 1200/14785  loss=17.7137  (cls 1.4441 ciou 1.4551 dfl 1.2986)  3.25 it/s  gpu_mem=22586 MB
  iter 1300/14785  loss=19.9967  (cls 2.4223 ciou 2.0308 dfl 1.8065)  3.26 it/s  gpu_mem=22586 MB
  iter 1400/14785  loss=19.8602  (cls 2.4463 ciou 1.9141 dfl 1.7641)  3.26 it/s  gpu_mem=22586 MB
  iter 1500/14785  loss=18.6493  (cls 1.7821 ciou 1.6224 dfl 1.5201)  3.26 it/s  gpu_mem=22586 MB
  iter 1600/14785  loss=18.4361  (cls 1.5928 ciou 1.4709 dfl 1.3951)  3.26 it/s  gpu_mem=22586 MB
  iter 1700/14785  loss=18.8102  (cls 1.7259 ciou 1.5359 dfl 1.3668)  3.26 it/s  gpu_mem=22586 MB
  iter 1800/14785  loss=21.4057  (cls 2.5436 ciou 2.0176 dfl 1.7352)  3.26 it/s  gpu_mem=22586 MB
  iter 1900/14785  loss=19.2593  (cls 2.1991 ciou 1.9964 dfl 1.7057)  3.26 it/s  gpu_mem=22586 MB
  iter 2000/14785  loss=19.7265  (cls 2.4928 ciou 1.8979 dfl 1.7283)  3.26 it/s  gpu_mem=22586 MB
  iter 2100/14785  loss=19.2135  (cls 2.2985 ciou 1.8051 dfl 1.6296)  3.27 it/s  gpu_mem=22586 MB
  iter 2200/14785  loss=20.7040  (cls 2.7244 ciou 2.0275 dfl 1.7934)  3.27 it/s  gpu_mem=22586 MB
  iter 2300/14785  loss=17.6060  (cls 1.6347 ciou 1.5932 dfl 1.3624)  3.27 it/s  gpu_mem=22586 MB
  iter 2400/14785  loss=18.8513  (cls 1.7106 ciou 1.6835 dfl 1.4222)  3.27 it/s  gpu_mem=22587 MB
  iter 2500/14785  loss=19.0771  (cls 1.8217 ciou 1.6115 dfl 1.4833)  3.27 it/s  gpu_mem=22587 MB
  iter 2600/14785  loss=19.7400  (cls 2.4932 ciou 2.1629 dfl 1.8196)  3.27 it/s  gpu_mem=22587 MB
  iter 2700/14785  loss=20.4476  (cls 2.5086 ciou 2.0312 dfl 1.7931)  3.27 it/s  gpu_mem=22587 MB
  iter 2800/14785  loss=20.2468  (cls 2.6276 ciou 2.1935 dfl 1.7935)  3.27 it/s  gpu_mem=22587 MB
