=== Experiment V5_kd: V5 = V4 + KD from ANN teacher (enable via USE_KD) ===
Log: /workspace/SNN/logs/cifar100_spikedetect_V5_kd.log
dataset=coco batch=10 img=416 epochs=20 warmup=2 amp=True
backbone_source=imagenet_ann  warm_start=cifar100_spikedetect_V4_mosaic_best.pth scope=all  aug=strong
USE_KD=True  USE_SPIKING_HEAD=False
loading annotations into memory...
Done (t=12.15s)
creating index...
index created!
Wrapped train_set with MosaicDetection (prob=0.5)
loading annotations into memory...
Done (t=0.53s)
creating index...
index created!
Train batches: 11828  Val batches: 500
num_classes=81 (incl. background)
[SEWBackboneForDetection:imagenet_ann] loaded 660 keys, skipped 0, still-missing 240
Warm-started from cifar100_spikedetect_V4_mosaic_best.pth (scope=all): loaded 936 keys, skipped 0
Total params: 20,322,535  Trainable: 20,170,975
Loading ANN teacher: torchvision RetinaNet-R50-FPN-v2 @ 416...
Backbone trainable: 11,092,192
Head/FPN trainable: 9,078,783
USE_EMA=True  USE_PROGRESSIVE_UNFREEZE=True
Resumed from epoch 7 (mAP: 0.292)
--- Epoch 8: unfreezing 3/4 backbone layer-groups, trainable params 20,170,975 ---
  iter 7400/11828  loss=14.5307  (cls 0.6567 bbox 0.8373)  1.38 it/s  gpu_mem=21855 MB
  iter 7500/11828  loss=15.2467  (cls 0.4260 bbox 0.7262)  1.38 it/s  gpu_mem=21855 MB
  iter 7600/11828  loss=15.9744  (cls 0.6969 bbox 1.0344)  1.38 it/s  gpu_mem=21855 MB
  iter 7700/11828  loss=16.4047  (cls 0.4800 bbox 0.5369)  1.38 it/s  gpu_mem=21855 MB
  iter 7800/11828  loss=16.7901  (cls 0.4039 bbox 0.6667)  1.38 it/s  gpu_mem=21855 MB
  iter 7900/11828  loss=14.8702  (cls 0.5956 bbox 0.7594)  1.38 it/s  gpu_mem=21855 MB
  iter 8000/11828  loss=15.3010  (cls 0.4389 bbox 0.6353)  1.38 it/s  gpu_mem=21855 MB
  iter 8100/11828  loss=14.8451  (cls 0.5605 bbox 0.9551)  1.38 it/s  gpu_mem=21855 MB
  iter 8200/11828  loss=14.9279  (cls 0.6232 bbox 0.9453)  1.38 it/s  gpu_mem=21855 MB
  iter 8300/11828  loss=15.3594  (cls 0.4144 bbox 0.7079)  1.38 it/s  gpu_mem=21855 MB
  iter 8400/11828  loss=14.7549  (cls 0.5849 bbox 1.0543)  1.38 it/s  gpu_mem=21855 MB
  iter 8500/11828  loss=16.1959  (cls 0.4729 bbox 0.6537)  1.38 it/s  gpu_mem=21855 MB
  iter 8600/11828  loss=16.1455  (cls 0.4425 bbox 0.7115)  1.38 it/s  gpu_mem=21855 MB
  iter 8700/11828  loss=15.0865  (cls 0.4047 bbox 0.5931)  1.38 it/s  gpu_mem=21855 MB
  iter 8800/11828  loss=15.2500  (cls 0.6006 bbox 0.7982)  1.38 it/s  gpu_mem=21855 MB
