=== Experiment V2_coco: M7 COCO warm-start from VOC + AMP + bigger batch ===
Log: /workspace/SNN/logs/cifar100_detect_V2_coco.log
dataset=coco  batch=20  img=416  epochs=15  warmup=2  amp=True
loading annotations into memory...
Done (t=13.35s)
creating index...
index created!
loading annotations into memory...
Done (t=0.59s)
creating index...
index created!
Train batches: 5914  Val batches: 250
num_classes=81 (incl. background)
[SEWBackboneForDetection] loaded 899 keys, skipped 7, own-keys missing 1
  missing: ['conv_stem.weight']
Warm-started from cifar100_detect_V1_best.pth: loaded 934 keys, skipped 2 (shape/class mismatches)
Total params: 20,322,535  Trainable: 20,170,975
Backbone trainable: 11,092,192
Head/FPN trainable: 9,078,783
No resume checkpoint — fresh start for this experiment.
  iter 2100/5914  loss=1.2227  (cls 0.6800 bbox 0.5427)  1.39 it/s  gpu_mem=22263 MB
  iter 2200/5914  loss=1.4718  (cls 0.6338 bbox 0.8380)  1.39 it/s  gpu_mem=22263 MB
  iter 2300/5914  loss=1.4369  (cls 0.6913 bbox 0.7456)  1.39 it/s  gpu_mem=22263 MB
  iter 2400/5914  loss=1.1869  (cls 0.5919 bbox 0.5950)  1.39 it/s  gpu_mem=22263 MB
  iter 2500/5914  loss=1.1528  (cls 0.6013 bbox 0.5515)  1.39 it/s  gpu_mem=22263 MB
  iter 2600/5914  loss=1.2303  (cls 0.5943 bbox 0.6361)  1.39 it/s  gpu_mem=22263 MB
  iter 2700/5914  loss=1.3931  (cls 0.6822 bbox 0.7109)  1.39 it/s  gpu_mem=22263 MB
  iter 2800/5914  loss=1.2022  (cls 0.5395 bbox 0.6627)  1.39 it/s  gpu_mem=22263 MB
  iter 2900/5914  loss=1.2466  (cls 0.5967 bbox 0.6499)  1.39 it/s  gpu_mem=22263 MB
  iter 3000/5914  loss=1.2826  (cls 0.6147 bbox 0.6679)  1.39 it/s  gpu_mem=22263 MB
  iter 3100/5914  loss=1.2774  (cls 0.6769 bbox 0.6005)  1.39 it/s  gpu_mem=22263 MB
  iter 3200/5914  loss=1.1599  (cls 0.5278 bbox 0.6321)  1.39 it/s  gpu_mem=22263 MB
  iter 3300/5914  loss=1.1639  (cls 0.5861 bbox 0.5778)  1.39 it/s  gpu_mem=22263 MB
  iter 3400/5914  loss=1.4454  (cls 0.8406 bbox 0.6048)  1.39 it/s  gpu_mem=22263 MB
  iter 3500/5914  loss=1.1486  (cls 0.5794 bbox 0.5691)  1.39 it/s  gpu_mem=22263 MB
  iter 3600/5914  loss=1.3394  (cls 0.6377 bbox 0.7017)  1.39 it/s  gpu_mem=22263 MB
  iter 3700/5914  loss=1.2227  (cls 0.6034 bbox 0.6193)  1.39 it/s  gpu_mem=22263 MB
  iter 3800/5914  loss=1.1367  (cls 0.6480 bbox 0.4887)  1.39 it/s  gpu_mem=22263 MB
  iter 3900/5914  loss=1.3658  (cls 0.6209 bbox 0.7450)  1.39 it/s  gpu_mem=22263 MB
  iter 4000/5914  loss=1.3163  (cls 0.6800 bbox 0.6362)  1.39 it/s  gpu_mem=22263 MB
  iter 4100/5914  loss=1.2710  (cls 0.6468 bbox 0.6242)  1.39 it/s  gpu_mem=22263 MB
  iter 4200/5914  loss=1.3506  (cls 0.6947 bbox 0.6559)  1.39 it/s  gpu_mem=22263 MB
  iter 4300/5914  loss=1.3220  (cls 0.6142 bbox 0.7078)  1.39 it/s  gpu_mem=22263 MB
  iter 4400/5914  loss=1.3982  (cls 0.6108 bbox 0.7874)  1.39 it/s  gpu_mem=22263 MB
  iter 4500/5914  loss=1.1747  (cls 0.6701 bbox 0.5046)  1.39 it/s  gpu_mem=22263 MB
  iter 4600/5914  loss=1.3577  (cls 0.6526 bbox 0.7050)  1.39 it/s  gpu_mem=22263 MB
  iter 4700/5914  loss=1.2976  (cls 0.6750 bbox 0.6226)  1.39 it/s  gpu_mem=22263 MB
  iter 4800/5914  loss=1.4709  (cls 0.6820 bbox 0.7889)  1.39 it/s  gpu_mem=22263 MB
  iter 4900/5914  loss=1.2221  (cls 0.5709 bbox 0.6512)  1.39 it/s  gpu_mem=22263 MB
  iter 5000/5914  loss=1.1980  (cls 0.6556 bbox 0.5424)  1.39 it/s  gpu_mem=22263 MB
  iter 5100/5914  loss=1.3859  (cls 0.5733 bbox 0.8126)  1.39 it/s  gpu_mem=22263 MB
  iter 5200/5914  loss=1.2801  (cls 0.6271 bbox 0.6530)  1.39 it/s  gpu_mem=22263 MB
  iter 5300/5914  loss=1.1837  (cls 0.6165 bbox 0.5672)  1.39 it/s  gpu_mem=22263 MB
  iter 5400/5914  loss=1.3328  (cls 0.6305 bbox 0.7023)  1.39 it/s  gpu_mem=22263 MB
  iter 5500/5914  loss=1.3164  (cls 0.6050 bbox 0.7114)  1.39 it/s  gpu_mem=22263 MB
  iter 5600/5914  loss=1.3116  (cls 0.5998 bbox 0.7119)  1.39 it/s  gpu_mem=22263 MB
  iter 5700/5914  loss=1.2210  (cls 0.6016 bbox 0.6194)  1.39 it/s  gpu_mem=22263 MB
  iter 5800/5914  loss=1.1555  (cls 0.5772 bbox 0.5783)  1.39 it/s  gpu_mem=22263 MB
  iter 5900/5914  loss=1.2401  (cls 0.6204 bbox 0.6198)  1.39 it/s  gpu_mem=22263 MB
Epoch 1 train | total=1.2981 cls=0.6521 bbox=0.6460 | LR bb=3.00e-05 head=3.00e-04 | 5914 batches in 4245.6s
Epoch 1 eval | mAP@50=0.078  mAP@[.5:.95]=0.037
>> Best saved at epoch 1 (mAP@50: 0.078)
  iter 0/5914  loss=1.1902  (cls 0.6309 bbox 0.5593)  0.40 it/s  gpu_mem=22263 MB
  iter 100/5914  loss=1.2326  (cls 0.6292 bbox 0.6034)  1.36 it/s  gpu_mem=22263 MB
  iter 200/5914  loss=1.1262  (cls 0.5981 bbox 0.5281)  1.38 it/s  gpu_mem=22263 MB
  iter 300/5914  loss=1.4066  (cls 0.6405 bbox 0.7661)  1.38 it/s  gpu_mem=22263 MB
  iter 400/5914  loss=1.7505  (cls 0.6818 bbox 1.0688)  1.38 it/s  gpu_mem=22263 MB
  iter 500/5914  loss=1.3774  (cls 0.6645 bbox 0.7130)  1.39 it/s  gpu_mem=22263 MB
  iter 600/5914  loss=1.1479  (cls 0.6433 bbox 0.5046)  1.39 it/s  gpu_mem=22263 MB
  iter 700/5914  loss=1.3470  (cls 0.6681 bbox 0.6789)  1.39 it/s  gpu_mem=22263 MB
  iter 800/5914  loss=1.4428  (cls 0.7103 bbox 0.7325)  1.39 it/s  gpu_mem=22263 MB
  iter 900/5914  loss=1.2218  (cls 0.5982 bbox 0.6236)  1.39 it/s  gpu_mem=22263 MB
  iter 1000/5914  loss=1.2555  (cls 0.5906 bbox 0.6650)  1.39 it/s  gpu_mem=22263 MB
  iter 1100/5914  loss=1.1501  (cls 0.5634 bbox 0.5867)  1.39 it/s  gpu_mem=22263 MB
  iter 1200/5914  loss=1.3341  (cls 0.6202 bbox 0.7138)  1.39 it/s  gpu_mem=22263 MB
  iter 1300/5914  loss=1.1401  (cls 0.6303 bbox 0.5098)  1.39 it/s  gpu_mem=22263 MB
  iter 1400/5914  loss=1.0790  (cls 0.5804 bbox 0.4986)  1.39 it/s  gpu_mem=22263 MB
  iter 1500/5914  loss=1.2451  (cls 0.6417 bbox 0.6034)  1.39 it/s  gpu_mem=22263 MB
  iter 1600/5914  loss=1.2470  (cls 0.6303 bbox 0.6167)  1.39 it/s  gpu_mem=22263 MB
  iter 1700/5914  loss=1.6355  (cls 0.7073 bbox 0.9282)  1.39 it/s  gpu_mem=22263 MB
  iter 1800/5914  loss=1.2535  (cls 0.6596 bbox 0.5939)  1.39 it/s  gpu_mem=22263 MB
  iter 1900/5914  loss=1.2250  (cls 0.5964 bbox 0.6286)  1.39 it/s  gpu_mem=22263 MB
  iter 2000/5914  loss=1.2935  (cls 0.5759 bbox 0.7176)  1.39 it/s  gpu_mem=22263 MB
  iter 2100/5914  loss=1.3269  (cls 0.6760 bbox 0.6508)  1.39 it/s  gpu_mem=22263 MB
  iter 2200/5914  loss=1.4034  (cls 0.5840 bbox 0.8194)  1.39 it/s  gpu_mem=22263 MB
  iter 2300/5914  loss=0.9508  (cls 0.5001 bbox 0.4507)  1.39 it/s  gpu_mem=22263 MB
  iter 2400/5914  loss=1.3116  (cls 0.5969 bbox 0.7147)  1.39 it/s  gpu_mem=22263 MB
  iter 2500/5914  loss=1.2979  (cls 0.6242 bbox 0.6737)  1.39 it/s  gpu_mem=22263 MB
  iter 2600/5914  loss=1.2567  (cls 0.6083 bbox 0.6484)  1.39 it/s  gpu_mem=22263 MB
  iter 2700/5914  loss=1.1799  (cls 0.5927 bbox 0.5872)  1.39 it/s  gpu_mem=22263 MB
