=== Experiment V5b_atss: V5b = V5 + ATSS matcher fine-tune (8 epochs, no warmup) ===
Log: /workspace/SNN/logs/cifar100_spikedetect_V5b_atss.log
dataset=coco batch=10 img=416 epochs=8 warmup=0 amp=True
backbone_source=imagenet_ann  warm_start=cifar100_spikedetect_V5_kd_best.pth scope=all  aug=strong
USE_KD=True  USE_SPIKING_HEAD=False
loading annotations into memory...
Done (t=12.26s)
creating index...
index created!
Wrapped train_set with MosaicDetection (prob=0.5)
loading annotations into memory...
Done (t=0.54s)
creating index...
index created!
Train batches: 11828  Val batches: 500
num_classes=81 (incl. background)
[SEWBackboneForDetection:imagenet_ann] loaded 660 keys, skipped 0, still-missing 240
Warm-started from cifar100_spikedetect_V5_kd_best.pth (scope=all): loaded 936 keys, skipped 0
[ATSS] Replaced Matcher → ATSSMatcher(topk=9)
Total params: 20,322,535  Trainable: 20,170,975
Loading ANN teacher: torchvision RetinaNet-R50-FPN-v2 @ 416...
Backbone trainable: 11,092,192
Head/FPN trainable: 9,078,783
USE_EMA=True  USE_PROGRESSIVE_UNFREEZE=True
No resume checkpoint — fresh start for this experiment.
--- Epoch 0: unfreezing 1/4 backbone layer-groups, trainable params 17,518,795 ---
  iter 9800/11828  loss=17.6853  (cls 0.6850 bbox 0.5288)  1.52 it/s  gpu_mem=18684 MB
  iter 9900/11828  loss=15.3008  (cls 0.6179 bbox 0.7616)  1.52 it/s  gpu_mem=18684 MB
  iter 10000/11828  loss=14.0722  (cls 0.5581 bbox 0.6566)  1.52 it/s  gpu_mem=18684 MB
  iter 10100/11828  loss=15.8624  (cls 0.6980 bbox 0.9207)  1.52 it/s  gpu_mem=18684 MB
  iter 10200/11828  loss=15.7024  (cls 0.5665 bbox 0.7063)  1.52 it/s  gpu_mem=18684 MB
  iter 10300/11828  loss=13.9563  (cls 0.6039 bbox 0.8464)  1.52 it/s  gpu_mem=18684 MB
  iter 10400/11828  loss=14.4012  (cls 0.6227 bbox 1.0039)  1.52 it/s  gpu_mem=18684 MB
  iter 10500/11828  loss=15.3182  (cls 0.4887 bbox 0.6635)  1.52 it/s  gpu_mem=18684 MB
  iter 10600/11828  loss=16.6089  (cls 0.5219 bbox 0.5819)  1.52 it/s  gpu_mem=18684 MB
  iter 10700/11828  loss=16.0005  (cls 0.5261 bbox 0.6824)  1.52 it/s  gpu_mem=18684 MB
  iter 10800/11828  loss=15.0361  (cls 0.6743 bbox 0.7847)  1.52 it/s  gpu_mem=18684 MB
  iter 10900/11828  loss=14.9304  (cls 0.6781 bbox 0.9230)  1.52 it/s  gpu_mem=18684 MB
  iter 11000/11828  loss=14.1359  (cls 0.4997 bbox 0.5225)  1.52 it/s  gpu_mem=18684 MB
  iter 11100/11828  loss=17.1239  (cls 0.4622 bbox 0.6838)  1.52 it/s  gpu_mem=18684 MB
  iter 11200/11828  loss=14.8038  (cls 0.7354 bbox 0.8353)  1.52 it/s  gpu_mem=18684 MB
  iter 11300/11828  loss=18.5991  (cls 0.5086 bbox 0.6355)  1.52 it/s  gpu_mem=18684 MB
  iter 11400/11828  loss=14.8845  (cls 0.6793 bbox 0.8109)  1.52 it/s  gpu_mem=18684 MB
  iter 11500/11828  loss=15.2621  (cls 0.4819 bbox 0.4686)  1.52 it/s  gpu_mem=18684 MB
  iter 11600/11828  loss=17.3394  (cls 0.6234 bbox 0.7741)  1.52 it/s  gpu_mem=18684 MB
