=== Experiment V7_yolov8: V7 = V5 backbone + YOLOv8 head (TAL+CIoU+DFL via ultralytics) ===
Log: /workspace/SNN/logs/cifar100_spikedetect_V7_yolov8.log
dataset=coco batch=10 img=416 epochs=20 warmup=2 amp=True
backbone_source=imagenet_ann  warm_start=cifar100_spikedetect_V5_kd_best.pth scope=backbone_only  aug=strong
USE_KD=True  USE_SPIKING_HEAD=False
loading annotations into memory...
Done (t=12.65s)
creating index...
index created!
Wrapped train_set with MosaicDetection (prob=0.5)
loading annotations into memory...
Done (t=0.54s)
creating index...
index created!
Train batches: 11828  Val batches: 500
num_classes=81 (incl. background)
[SEWBackboneForDetection:imagenet_ann] loaded 660 keys, skipped 0, still-missing 240
Warm-started from cifar100_spikedetect_V5_kd_best.pth (scope=backbone_only): loaded 900 keys, skipped 24
Total params: 17,414,811  Trainable: 17,263,251
Loading ANN teacher: torchvision RetinaNet-R50-FPN-v2 @ 416...
Backbone trainable: 11,092,192
Head/FPN trainable: 6,171,059
USE_EMA=True  USE_PROGRESSIVE_UNFREEZE=True
No resume checkpoint — fresh start for this experiment.
--- Epoch 0: unfreezing 1/4 backbone layer-groups, trainable params 14,611,071 ---
  iter 1900/11828  loss=22.3143  (cls 3.0587 ciou 2.4318 dfl 1.9301)  1.60 it/s  gpu_mem=18755 MB
  iter 2000/11828  loss=20.0651  (cls 1.7976 ciou 1.7706 dfl 1.5824)  1.60 it/s  gpu_mem=18755 MB
  iter 2100/11828  loss=23.7808  (cls 2.8286 ciou 2.4847 dfl 2.0034)  1.60 it/s  gpu_mem=18755 MB
  iter 2200/11828  loss=21.3905  (cls 1.7829 ciou 1.7209 dfl 1.4408)  1.60 it/s  gpu_mem=18755 MB
  iter 2300/11828  loss=21.4937  (cls 1.7757 ciou 1.6992 dfl 1.4613)  1.60 it/s  gpu_mem=18755 MB
  iter 2400/11828  loss=22.6766  (cls 2.7089 ciou 2.5721 dfl 1.9512)  1.60 it/s  gpu_mem=18755 MB
  iter 2500/11828  loss=22.3070  (cls 2.1644 ciou 1.9166 dfl 1.6241)  1.60 it/s  gpu_mem=18755 MB
  iter 2600/11828  loss=22.1941  (cls 2.7510 ciou 2.2261 dfl 1.9429)  1.60 it/s  gpu_mem=18755 MB
  iter 2700/11828  loss=22.9307  (cls 3.0692 ciou 2.3378 dfl 1.9738)  1.60 it/s  gpu_mem=18755 MB
  iter 2800/11828  loss=22.8336  (cls 2.9722 ciou 2.3340 dfl 1.9668)  1.60 it/s  gpu_mem=18755 MB
  iter 2900/11828  loss=21.7304  (cls 3.0088 ciou 2.0915 dfl 1.8794)  1.60 it/s  gpu_mem=18755 MB
  iter 3000/11828  loss=20.9401  (cls 1.7981 ciou 1.8400 dfl 1.5718)  1.60 it/s  gpu_mem=18755 MB
  iter 3100/11828  loss=23.8867  (cls 2.6634 ciou 2.1568 dfl 1.8232)  1.60 it/s  gpu_mem=18755 MB
  iter 3200/11828  loss=22.6965  (cls 2.0015 ciou 2.1666 dfl 1.7160)  1.60 it/s  gpu_mem=18755 MB
  iter 3300/11828  loss=20.8323  (cls 1.8945 ciou 1.6820 dfl 1.4579)  1.60 it/s  gpu_mem=18755 MB
  iter 3400/11828  loss=24.5590  (cls 2.8797 ciou 2.3695 dfl 1.9346)  1.60 it/s  gpu_mem=18755 MB
  iter 3500/11828  loss=21.6759  (cls 2.8829 ciou 2.1335 dfl 1.9376)  1.60 it/s  gpu_mem=18755 MB
  iter 3600/11828  loss=21.1705  (cls 1.9524 ciou 1.6468 dfl 1.5751)  1.60 it/s  gpu_mem=18755 MB
  iter 3700/11828  loss=22.6318  (cls 2.0154 ciou 1.7310 dfl 1.6044)  1.60 it/s  gpu_mem=18755 MB
  iter 3800/11828  loss=21.7876  (cls 2.7260 ciou 2.1078 dfl 1.8887)  1.60 it/s  gpu_mem=18755 MB
  iter 3900/11828  loss=22.8030  (cls 1.8299 ciou 1.7304 dfl 1.5778)  1.60 it/s  gpu_mem=18755 MB
  iter 4000/11828  loss=22.8773  (cls 2.0228 ciou 1.8033 dfl 1.5476)  1.60 it/s  gpu_mem=18755 MB
  iter 4100/11828  loss=22.1323  (cls 2.5809 ciou 2.3055 dfl 1.8469)  1.60 it/s  gpu_mem=18755 MB
  iter 4200/11828  loss=23.5171  (cls 2.7500 ciou 2.3328 dfl 1.9260)  1.60 it/s  gpu_mem=18755 MB
  iter 4300/11828  loss=23.5734  (cls 2.5994 ciou 2.2364 dfl 1.8305)  1.60 it/s  gpu_mem=18755 MB
  iter 4400/11828  loss=23.4713  (cls 1.8607 ciou 1.9062 dfl 1.6158)  1.60 it/s  gpu_mem=18755 MB
  iter 4500/11828  loss=20.9713  (cls 1.8178 ciou 1.7952 dfl 1.4476)  1.60 it/s  gpu_mem=18755 MB
  iter 4600/11828  loss=22.9234  (cls 2.6238 ciou 1.9600 dfl 1.7936)  1.60 it/s  gpu_mem=18755 MB
  iter 4700/11828  loss=21.9960  (cls 1.9871 ciou 1.8434 dfl 1.6244)  1.60 it/s  gpu_mem=18755 MB
  iter 4800/11828  loss=22.1604  (cls 2.0554 ciou 1.8760 dfl 1.6262)  1.60 it/s  gpu_mem=18755 MB
  iter 4900/11828  loss=21.2145  (cls 1.7950 ciou 1.9312 dfl 1.7264)  1.60 it/s  gpu_mem=18755 MB
  iter 5000/11828  loss=22.2235  (cls 2.6813 ciou 2.2118 dfl 1.9190)  1.60 it/s  gpu_mem=18755 MB
  iter 5100/11828  loss=21.2817  (cls 1.9002 ciou 1.8099 dfl 1.5617)  1.60 it/s  gpu_mem=18755 MB
  iter 5200/11828  loss=22.8467  (cls 2.8362 ciou 2.3434 dfl 2.0165)  1.60 it/s  gpu_mem=18755 MB
  iter 5300/11828  loss=23.2923  (cls 3.2735 ciou 2.2115 dfl 2.0610)  1.60 it/s  gpu_mem=18755 MB
