=== Experiment V4_mosaic: V4 = V3 + Mosaic/MixUp ===
Log: /workspace/SNN/logs/cifar100_spikedetect_V4_mosaic.log
dataset=coco batch=20 img=416 epochs=20 warmup=2 amp=True
backbone_source=imagenet_ann  warm_start=cifar100_spikedetect_V3_imagenet_best.pth scope=all  aug=strong
USE_KD=False  USE_SPIKING_HEAD=False
loading annotations into memory...
Done (t=12.21s)
creating index...
index created!
Wrapped train_set with MosaicDetection (prob=0.5)
loading annotations into memory...
Done (t=0.54s)
creating index...
index created!
Train batches: 5914  Val batches: 250
num_classes=81 (incl. background)
[SEWBackboneForDetection:imagenet_ann] loaded 660 keys, skipped 0, still-missing 240
Warm-started from cifar100_spikedetect_V3_imagenet_best.pth (scope=all): loaded 936 keys, skipped 0
Total params: 20,322,535  Trainable: 20,170,975
Backbone trainable: 11,092,192
Head/FPN trainable: 9,078,783
No resume checkpoint — fresh start for this experiment.
  iter 900/5914  loss=1.1422  (cls 0.4892 bbox 0.6530)  1.39 it/s  gpu_mem=22035 MB
  iter 1000/5914  loss=1.5731  (cls 0.6314 bbox 0.9417)  1.39 it/s  gpu_mem=22035 MB
  iter 1100/5914  loss=1.0183  (cls 0.4533 bbox 0.5651)  1.39 it/s  gpu_mem=22035 MB
  iter 1200/5914  loss=1.5447  (cls 0.6278 bbox 0.9169)  1.39 it/s  gpu_mem=22035 MB
  iter 1300/5914  loss=1.5204  (cls 0.6230 bbox 0.8974)  1.39 it/s  gpu_mem=22035 MB
  iter 1400/5914  loss=1.0055  (cls 0.4575 bbox 0.5480)  1.39 it/s  gpu_mem=22035 MB
  iter 1500/5914  loss=1.6362  (cls 0.6222 bbox 1.0139)  1.39 it/s  gpu_mem=22035 MB
  iter 1600/5914  loss=1.0538  (cls 0.4292 bbox 0.6245)  1.39 it/s  gpu_mem=22035 MB
  iter 1700/5914  loss=1.1354  (cls 0.4815 bbox 0.6539)  1.39 it/s  gpu_mem=22035 MB
  iter 1800/5914  loss=1.6828  (cls 0.6664 bbox 1.0164)  1.39 it/s  gpu_mem=22035 MB
  iter 1900/5914  loss=1.0946  (cls 0.4202 bbox 0.6744)  1.39 it/s  gpu_mem=22035 MB
  iter 2000/5914  loss=0.9970  (cls 0.4131 bbox 0.5839)  1.39 it/s  gpu_mem=22035 MB
  iter 2100/5914  loss=1.4831  (cls 0.6218 bbox 0.8613)  1.39 it/s  gpu_mem=22035 MB
  iter 2200/5914  loss=1.1237  (cls 0.5260 bbox 0.5976)  1.39 it/s  gpu_mem=22035 MB
  iter 2300/5914  loss=1.0748  (cls 0.4609 bbox 0.6140)  1.39 it/s  gpu_mem=22035 MB
  iter 2400/5914  loss=1.1107  (cls 0.4402 bbox 0.6706)  1.39 it/s  gpu_mem=22035 MB
  iter 2500/5914  loss=1.0991  (cls 0.4479 bbox 0.6512)  1.39 it/s  gpu_mem=22035 MB
  iter 2600/5914  loss=1.1396  (cls 0.4663 bbox 0.6733)  1.39 it/s  gpu_mem=22035 MB
  iter 2700/5914  loss=1.6243  (cls 0.6536 bbox 0.9707)  1.39 it/s  gpu_mem=22035 MB
  iter 2800/5914  loss=1.1760  (cls 0.4984 bbox 0.6776)  1.39 it/s  gpu_mem=22035 MB
  iter 2900/5914  loss=0.9872  (cls 0.4524 bbox 0.5348)  1.39 it/s  gpu_mem=22035 MB
  iter 3000/5914  loss=1.5887  (cls 0.6746 bbox 0.9141)  1.39 it/s  gpu_mem=22035 MB
