=== Experiment V3_imagenet: V3 ImageNet backbone + V2 head/FPN warm-start ===
Log: /workspace/SNN/logs/cifar100_spikedetect_V3_imagenet.log
dataset=coco batch=20 img=416 epochs=20 warmup=2 amp=True
backbone_source=imagenet_ann  warm_start=cifar100_detect_V2_coco_best.pth scope=head_fpn  aug=basic
USE_KD=False  USE_SPIKING_HEAD=False
loading annotations into memory...
Done (t=12.59s)
creating index...
index created!
loading annotations into memory...
Done (t=0.55s)
creating index...
index created!
Train batches: 5914  Val batches: 250
num_classes=81 (incl. background)
[SEWBackboneForDetection:imagenet_ann] loaded 660 keys, skipped 0, still-missing 240
Warm-started from cifar100_detect_V2_coco_best.pth (scope=head_fpn): loaded 36 keys, skipped 0
Total params: 20,322,535  Trainable: 20,170,975
Backbone trainable: 11,092,192
Head/FPN trainable: 9,078,783
Resumed from epoch 4 (mAP: 0.197)
  iter 2200/5914  loss=0.9363  (cls 0.4060 bbox 0.5302)  1.37 it/s  gpu_mem=22112 MB
  iter 2300/5914  loss=0.9267  (cls 0.4480 bbox 0.4786)  1.37 it/s  gpu_mem=22112 MB
  iter 2400/5914  loss=0.7869  (cls 0.4067 bbox 0.3802)  1.37 it/s  gpu_mem=22112 MB
  iter 2500/5914  loss=0.6934  (cls 0.3668 bbox 0.3265)  1.37 it/s  gpu_mem=22112 MB
  iter 2600/5914  loss=1.0962  (cls 0.5145 bbox 0.5817)  1.37 it/s  gpu_mem=22112 MB
  iter 2700/5914  loss=1.1266  (cls 0.4130 bbox 0.7136)  1.37 it/s  gpu_mem=22112 MB
  iter 2800/5914  loss=0.9286  (cls 0.4762 bbox 0.4524)  1.37 it/s  gpu_mem=22112 MB
  iter 2900/5914  loss=0.9478  (cls 0.4579 bbox 0.4899)  1.37 it/s  gpu_mem=22112 MB
  iter 3000/5914  loss=1.0597  (cls 0.4395 bbox 0.6202)  1.37 it/s  gpu_mem=22112 MB
  iter 3100/5914  loss=0.9014  (cls 0.4471 bbox 0.4542)  1.37 it/s  gpu_mem=22112 MB
  iter 3200/5914  loss=1.0304  (cls 0.5034 bbox 0.5270)  1.37 it/s  gpu_mem=22112 MB
  iter 3300/5914  loss=1.0022  (cls 0.4621 bbox 0.5401)  1.36 it/s  gpu_mem=22112 MB
  iter 3400/5914  loss=1.0390  (cls 0.4451 bbox 0.5939)  1.36 it/s  gpu_mem=22112 MB
  iter 3500/5914  loss=1.0064  (cls 0.4443 bbox 0.5621)  1.36 it/s  gpu_mem=22112 MB
  iter 3600/5914  loss=0.9350  (cls 0.4476 bbox 0.4875)  1.36 it/s  gpu_mem=22112 MB
  iter 3700/5914  loss=0.8341  (cls 0.4146 bbox 0.4195)  1.36 it/s  gpu_mem=22112 MB
  iter 3800/5914  loss=0.9740  (cls 0.4430 bbox 0.5310)  1.36 it/s  gpu_mem=22112 MB
  iter 3900/5914  loss=1.2605  (cls 0.5579 bbox 0.7027)  1.36 it/s  gpu_mem=22112 MB
  iter 4000/5914  loss=0.8233  (cls 0.3715 bbox 0.4518)  1.36 it/s  gpu_mem=22112 MB
  iter 4100/5914  loss=1.1093  (cls 0.5224 bbox 0.5869)  1.36 it/s  gpu_mem=22112 MB
  iter 4200/5914  loss=0.9187  (cls 0.4327 bbox 0.4860)  1.36 it/s  gpu_mem=22112 MB
  iter 4300/5914  loss=0.7951  (cls 0.4097 bbox 0.3854)  1.36 it/s  gpu_mem=22112 MB
  iter 4400/5914  loss=0.8584  (cls 0.4023 bbox 0.4560)  1.36 it/s  gpu_mem=22112 MB
  iter 4500/5914  loss=0.8717  (cls 0.4601 bbox 0.4117)  1.36 it/s  gpu_mem=22112 MB
  iter 4600/5914  loss=1.0696  (cls 0.5176 bbox 0.5520)  1.36 it/s  gpu_mem=22112 MB
  iter 4700/5914  loss=0.9429  (cls 0.4942 bbox 0.4487)  1.36 it/s  gpu_mem=22112 MB
  iter 4800/5914  loss=0.9706  (cls 0.4566 bbox 0.5140)  1.36 it/s  gpu_mem=22112 MB
  iter 4900/5914  loss=1.0488  (cls 0.4539 bbox 0.5949)  1.36 it/s  gpu_mem=22112 MB
  iter 5000/5914  loss=0.9968  (cls 0.4406 bbox 0.5563)  1.36 it/s  gpu_mem=22112 MB
  iter 5100/5914  loss=0.9254  (cls 0.4569 bbox 0.4685)  1.36 it/s  gpu_mem=22112 MB
  iter 5200/5914  loss=1.0165  (cls 0.4754 bbox 0.5411)  1.36 it/s  gpu_mem=22112 MB
  iter 5300/5914  loss=1.1373  (cls 0.4582 bbox 0.6791)  1.36 it/s  gpu_mem=22112 MB
  iter 5400/5914  loss=0.9889  (cls 0.4817 bbox 0.5072)  1.36 it/s  gpu_mem=22112 MB
  iter 5500/5914  loss=0.9845  (cls 0.4538 bbox 0.5306)  1.36 it/s  gpu_mem=22112 MB
  iter 5600/5914  loss=1.0487  (cls 0.4942 bbox 0.5546)  1.36 it/s  gpu_mem=22112 MB
