=== Experiment V7_sanity: V7 1-epoch sanity check (full train + eval) ===
Log: /workspace/SNN/logs/cifar100_spikedetect_V7_sanity.log
dataset=coco batch=10 img=416 epochs=1 warmup=0 amp=True
backbone_source=imagenet_ann  warm_start=cifar100_spikedetect_V5_kd_best.pth scope=backbone_only  aug=strong
USE_KD=True  USE_SPIKING_HEAD=False
loading annotations into memory...
Done (t=12.23s)
creating index...
index created!
Wrapped train_set with MosaicDetection (prob=0.5)
loading annotations into memory...
Done (t=0.53s)
creating index...
index created!
Train batches: 11828  Val batches: 500
num_classes=81 (incl. background)
[SEWBackboneForDetection:imagenet_ann] loaded 660 keys, skipped 0, still-missing 240
Warm-started from cifar100_spikedetect_V5_kd_best.pth (scope=backbone_only): loaded 900 keys, skipped 24
Total params: 17,414,811  Trainable: 17,263,251
Loading ANN teacher: torchvision RetinaNet-R50-FPN-v2 @ 416...
Backbone trainable: 11,092,192
Head/FPN trainable: 6,171,059
USE_EMA=True  USE_PROGRESSIVE_UNFREEZE=True
No resume checkpoint — fresh start for this experiment.
--- Epoch 0: unfreezing 1/4 backbone layer-groups, trainable params 14,611,071 ---
  iter 10300/11828  loss=21.6125  (cls 2.0001 ciou 1.6777 dfl 1.4818)  1.61 it/s  gpu_mem=18429 MB
  iter 10400/11828  loss=23.7086  (cls 2.9056 ciou 2.2195 dfl 1.9942)  1.61 it/s  gpu_mem=18429 MB
  iter 10500/11828  loss=20.6617  (cls 2.1010 ciou 1.6327 dfl 1.6606)  1.61 it/s  gpu_mem=18429 MB
  iter 10600/11828  loss=23.7537  (cls 2.4952 ciou 2.2300 dfl 1.8722)  1.61 it/s  gpu_mem=18429 MB
  iter 10700/11828  loss=22.4488  (cls 2.6174 ciou 1.9342 dfl 1.7434)  1.61 it/s  gpu_mem=18429 MB
  iter 10800/11828  loss=21.6502  (cls 2.8986 ciou 2.0907 dfl 1.8215)  1.61 it/s  gpu_mem=18429 MB
  iter 10900/11828  loss=23.4406  (cls 2.7060 ciou 2.4633 dfl 1.9087)  1.61 it/s  gpu_mem=18429 MB
  iter 11000/11828  loss=21.1926  (cls 1.6493 ciou 1.6095 dfl 1.4633)  1.61 it/s  gpu_mem=18429 MB
  iter 11100/11828  loss=24.0960  (cls 2.7451 ciou 2.1821 dfl 1.9167)  1.61 it/s  gpu_mem=18429 MB
  iter 11200/11828  loss=21.7019  (cls 1.8649 ciou 1.8500 dfl 1.6628)  1.61 it/s  gpu_mem=18429 MB
  iter 11300/11828  loss=23.4945  (cls 2.8478 ciou 2.2251 dfl 1.9414)  1.61 it/s  gpu_mem=18429 MB
  iter 11400/11828  loss=22.0822  (cls 2.8643 ciou 2.1725 dfl 1.8624)  1.61 it/s  gpu_mem=18429 MB
  iter 11500/11828  loss=21.5372  (cls 1.8782 ciou 1.8540 dfl 1.5698)  1.61 it/s  gpu_mem=18429 MB
  iter 11600/11828  loss=23.2680  (cls 1.9638 ciou 1.7851 dfl 1.5616)  1.61 it/s  gpu_mem=18429 MB
  iter 11700/11828  loss=22.8811  (cls 2.1846 ciou 1.8042 dfl 1.5827)  1.61 it/s  gpu_mem=18429 MB
  iter 11800/11828  loss=20.9443  (cls 1.9653 ciou 1.8787 dfl 1.6384)  1.61 it/s  gpu_mem=18429 MB
Epoch 0 train | total=24.1553 cls=3.1080 ciou=2.1093 dfl=1.8974 | LR bb=0.00e+00 head=0.00e+00 | 11828 batches in 7352.6s
/workspace/SNN/venv/lib/python3.12/site-packages/torchmetrics/utilities/prints.py:43: UserWarning: Encountered more than 100 detections in a single image. This means that certain detections with the lowest scores will be ignored, that may have an undesirable impact on performance. Please consider adjusting the `max_detection_threshold` to suit your use case. To disable this warning, set attribute class `warn_on_many_detections=False`, after initializing the metric.
  warnings.warn(*args, **kwargs)
Epoch 0 eval (EMA) | mAP@50=0.314  mAP@[.5:.95]=0.176
>> Best saved at epoch 0 (mAP@50: 0.314) [EMA]
Training complete.
